Processo;Sei!;Analise Tecnica;Ano;Via;UF;Regiao;Data Finalizacao;Descricao;Qtde Inicial;unid.;Preco Unitario Inicial;Mes Base Inicial;Ano Base Inicial;Preco Total Inicial;Qtde Final;unid.;Preco Unitario Final;Mes Base Final;Ano Base Final;Preco Total Final;Modalidade;Tipo de Indice;Indice Mês base Inicial;Indice Mês base Final;Indice Mês base Economia;Economia;Peso;Variacao Incial x Final;Variacao Ponderada
50607.001123/2019-25;4617747;AT n. 52/2019;2019;BR-101;RJ;Sudeste;05/12/2019;Aquisição carga manobra e descarga de material de jazida comercial. ;2175,13;m³;85,19;Novembro;2017;75560,48294;763,33;m³;72,53;Novembro;2017;64331,51576;RODOVIÁRIO;IGP-DI;646,422;646,422;751,121;-11228,96718;0,00071069;-0,148608992;-0,000105615
50607.001123/2019-25;4617747;AT n. 52/2019;2019;BR-101;RJ;Sudeste;05/12/2019;Taxa de recebimento de resíduos sólidos em bota fora comercial. ;4677,36;t;58,7;Novembro;2017;39884,9943;584,76;t;58,7;Novembro;2017;39884,9943;RODOVIÁRIO;IGP-DI;646,422;646,422;751,121;0;0,000375141;0;0
50607.001123/2019-25;4617747;AT n. 52/2019;2019;BR-101;RJ;Sudeste;05/12/2019;Fornecimento e colocação de barreira de siltagem.;30;m;12,91;Novembro;2017;300,0198666;20;m;12,92;Novembro;2017;300,25226;RODOVIÁRIO;IGP-DI;646,422;646,422;751,121;0,23239339;2,82E-06;0,000774593;2,19E-09
50607.001123/2019-25;4617747;AT n. 52/2019;2019;BR-101;RJ;Sudeste;05/12/2019;Barra transferência Ø 32mm – aço CA-25 – fornecimento dobragem e colocação.;2250,9;kg;10,3;Novembro;2017;9545,883848;797,6;kg;6,83;Novembro;2017;6329,940455;RODOVIÁRIO;IGP-DI;646,422;646,422;751,121;-3215,943393;8,98E-05;-0,336893204;-3,02E-05
50607.001123/2019-25;4617747;AT n. 52/2019;2019;BR-101;RJ;Sudeste;05/12/2019;Fornecimento e implantação de placa de regulamentação em aço D= 050 m – película retrorrefletiva tipo I e SI.;6;unid.;189,1;Novembro;2017;439,4559006;2;unid.;189,13;Novembro;2017;439,5256187;RODOVIÁRIO;IGP-DI;646,422;646,422;751,121;0,069718017;4,13E-06;0,000158646;6,56E-10
50607.001123/2019-25;4617747;AT n. 52/2019;2019;BR-101;RJ;Sudeste;05/12/2019;Fornecimento e implantação de suporte metálico galvanizado para placa de regulamentação – D= 050 m. ;6;unid.;221,3;Novembro;2017;514,2865722;2;unid.;219,32;Novembro;2017;509,6851831;RODOVIÁRIO;IGP-DI;646,422;646,422;751,121;-4,601389124;4,84E-06;-0,008947131;-4,33E-08
50607.001123/2019-25;4617747;AT n. 52/2019;2019;BR-101;RJ;Sudeste;05/12/2019;Guarda corpo metálico. ;1226;m;327,11;Novembro;2017;152796,5857;402;m;348,71;Novembro;2017;162886,1771;RODOVIÁRIO;IGP-DI;646,422;646,422;751,121;10089,59142;0,00143714;0,066032833;9,49E-05
50607.001170/2019-79;4621618;AT n. 58/2019;2019;BR-101;RJ;Sudeste;05/12/2019;Aquisição carga manobra e descarga de material de jazida comercial. ;1318,16;m³;76,93;Novembro;2017;117830,4773;1318,16;m³;66,61;novembro;2017;102023,763;RODOVIÁRIO;IGP-DI;646,422;646,422;751,121;-15806,71423;0,001108264;-0,134147927;-0,000148671
50607.001170/2019-79;4621618;AT n. 58/2019;2019;BR-101;RJ;Sudeste;05/12/2019;Taxa para recebimento de resíduos sólidos em bota fora comercial. ;2913,82;t;58,7;Novembro;2017;198744,2611;2913,82;t;58,7;novembro;2017;198744,2611;RODOVIÁRIO;IGP-DI;646,422;646,422;751,121;0;0,001869305;0;0
50607.001170/2019-79;4621618;AT n. 58/2019;2019;BR-101;RJ;Sudeste;05/12/2019;Fornecimento e colocação de barreira de siltagem. ;269;m;12,88;Novembro;2017;4025,890132;269;m;12,89;novembro;2017;4029,015823;RODOVIÁRIO;IGP-DI;646,422;646,422;751,121;3,125691097;3,79E-05;0,000776398;2,94E-08
50607.001170/2019-79;4621618;AT n. 58/2019;2019;BR-101;RJ;Sudeste;05/12/2019;Barra transferência Ø 32 mm – aço CA-25 – fornecimento dobragem e colocação. ;1388,95;kg;10,3;Novembro;2017;16623,31416;1388,95;kg;6,82;novembro;2017;11006,89345;RODOVIÁRIO;IGP-DI;646,422;646,422;751,121;-5616,420705;0,000156352;-0,337864078;-5,28E-05
50607.001170/2019-79;4621618;AT n. 58/2019;2019;BR-101;RJ;Sudeste;05/12/2019;Fornecimento e implantação de placa de regulamentação em aço D= 050 m – película retrorrefletiva tipo I e SI. ;4;unid.;189,1;Novembro;2017;878,9118013;4;unid.;189,1;novembro;2017;878,9118013;RODOVIÁRIO;IGP-DI;646,422;646,422;751,121;0;8,27E-06;0;0
50607.001170/2019-79;4621618;AT n. 58/2019;2019;BR-101;RJ;Sudeste;05/12/2019;Fornecimento e implantação de suporte metálico galvanizado para placa de regulamentação – D= 050 m. ;4;unid.;220,81;Novembro;2017;1026,295689;4;unid.;218,91;novembro;2017;1017,46474;RODOVIÁRIO;IGP-DI;646,422;646,422;751,121;-8,830948823;9,65E-06;-0,008604683;-8,31E-08
50607.001170/2019-79;4621618;AT n. 58/2019;2019;BR-101;RJ;Sudeste;05/12/2019;Guarda corpo metálico. ;738,3;m;327,01;Novembro;2017;280535,404;738,3;m;348,76;novembro;2017;299194,2984;RODOVIÁRIO;IGP-DI;646,422;646,422;751,121;18658,89434;0,002638598;0,066511727;0,000175498
50600.031795/2019-25;4607671;AT n. 57/2019;2019;BR-317;AC;Norte;06/12/2019;Limpeza de material retido em fundação submersa. ;11;unid.;1826,64;Abril;2019;20941,31956;11;ponte;11970,31;Abril;2019;137232,3429;RODOVIÁRIO;IGP-DI;720,695;720,695;751,121;116291,0234;0,104992577;5,553185083;0,583043215
50607.000942/2019-55;4631779;AT n. 51/2019;2019;BR-101;RJ;Sudeste;09/12/2019;Tela metálica tipo SteelGrid HR 50 ou similar compreendendo fornecimento e montagem exclusive perfuração de tirante e placa de montagem. ;20230;m²;446,74;Julho;2018;9841729,773;20230;m²;196,55;Julho;2018;4330017,43;RODOVIÁRIO;IGP-DI;689,746;689,746;751,121;-5511712,342;0,092567153;-0,56003492;-0,051840838
50607.000942/2019-55;4631779;AT n. 51/2019;2019;BR-101;RJ;Sudeste;09/12/2019;Tirante de barra de aço 750 Mpa D= 32 mm – ancorado na rocha com resina de poliéster – carga de trabalho permanente de 260 kN – fornecimento e instalação. ;23384,9;m;125,52;Julho;2018;3196459,17;23384,9;m;107,76;Julho;2018;2744187,7;RODOVIÁRIO;IGP-DI;689,746;689,746;751,121;-452271,4696;0,030064545;-0,141491396;-0,004253874
50607.000942/2019-55;4631779;AT n. 51/2019;2019;BR-101;RJ;Sudeste;09/12/2019;Dreno sub-horizontal – DSH 01 – exclusive perfuração. ;944,15;m;89,24;Julho;2018;93721,12152;964,4;m;92,62;Julho;2018;97270,84576;RODOVIÁRIO;IGP-DI;689,746;689,746;751,121;3549,724235;0,000881501;0,037875392;3,34E-05
50607.000942/2019-55;4631779;AT n. 51/2019;2019;BR-101;RJ;Sudeste;09/12/2019;Grelha de concreto – TCC 01 – areia e brita comerciais. ;1;unid.;335,24;Julho;2018;365,0703361;1;unid.;290,2;Julho;2018;316,0225854;RODOVIÁRIO;IGP-DI;689,746;689,746;751,121;-49,04775068;3,43E-06;-0,134351509;-4,61E-07
50607.000942/2019-55;4631779;AT n. 51/2019;2019;BR-101;RJ;Sudeste;09/12/2019;Tela metálica de dupla torção integrada a uma geomanta tridimensional tipo MacMat-R ou similar fornecimento e colocação exclusive perfuração e tirante. ;1900;m²;165,92;Julho;2018;343299,4073;1900;m²;89,05;Julho;2018;184250,3147;RODOVIÁRIO;IGP-DI;689,746;689,746;751,121;-159049,0926;0,003228929;-0,463295564;-0,001495949
50607.000942/2019-55;4631779;AT n. 51/2019;2019;BR-101;RJ;Sudeste;09/12/2019;Sub-base de bica corrida. ;47,6;m³;134,66;Julho;2018;6980,174446;47,6;m³;90,45;Julho;2018;4688,525016;RODOVIÁRIO;IGP-DI;689,746;689,746;751,121;-2291,64943;6,57E-05;-0,328308332;-2,16E-05
50617.000684/2015-64;4674991;AT n. 71/2019;2019;BR-262;ES;Sudeste;20/12/2019;Destinação de demolição em área urbana.;18,9;m³;46,87;Janeiro;2019;953,3648841;18,9;m³;17,85;Janeiro;2019;363,0800764;RODOVIÁRIO;IGP-DI;697,923;697,923;751,121;-590,2848077;0,5;-0,619159377;-0,309579689
50607.001171/2019-13;4714221;AT n. 53/2019;2019;BR-101;RJ;Sudeste;20/12/2019;Aquisição carga manobra e descarga de material de jazida comercial. ;3084,81;m³;44,14;Novembro;2017;158217,5024;3084,81;m³;37,38;Novembro;2017;133986,6389;RODOVIÁRIO;IGP-DI;646,422;646,422;751,121;-24230,86353;0,001488127;-0,153149071;-0,000227905
50607.001171/2019-13;4714221;AT n. 53/2019;2019;BR-101;RJ;Sudeste;20/12/2019;Taxa para recebimento de resíduos sólidos em bota fora comercial. ;6541,15;t;58,7;Novembro;2017;446155,2269;6541,15;t;58,7;Novembro;2017;446155,2269;RODOVIÁRIO;IGP-DI;646,422;646,422;751,121;0;0,004196348;0;0
50607.001171/2019-13;4714221;AT n. 53/2019;2019;BR-101;RJ;Sudeste;20/12/2019;Fornecimento e colocação de barreira de siltagem. ;100;m;12,87;Novembro;2017;1495,451465;100;m;12,88;Novembro;2017;1496,613432;RODOVIÁRIO;IGP-DI;646,422;646,422;751,121;1,16196695;1,41E-05;0,000777001;1,09E-08
50607.001171/2019-13;4714221;AT n. 53/2019;2019;BR-101;RJ;Sudeste;20/12/2019;Pavimento de concreto com equipamento de pequeno porte espessura de 021 m com agente de cura e com tela soldada – concreto usinado – areia e brita comerciais. ;3364;m²;127,62;Novembro;2017;498848,3075;3364;m²;127,53;Novembro;2017;498496,5104;RODOVIÁRIO;IGP-DI;646,422;646,422;751,121;-351,7971139;0,004691956;-0,000705219;-3,31E-06
50607.001171/2019-13;4714221;AT n. 53/2019;2019;BR-101;RJ;Sudeste;20/12/2019;Barra de transferência Ø 32 mm – aço CA-25 – fornecimento dobragem e colocação. ;3465;kg;10,29;Novembro;2017;41429,75732;3465;kg;6,83;Novembro;2017;27499,05175;RODOVIÁRIO;IGP-DI;646,422;646,422;751,121;-13930,70557;0,000389671;-0,336248785;-0,000131026
50607.001171/2019-13;4714221;AT n. 53/2019;2019;BR-101;RJ;Sudeste;20/12/2019;Fornecimento e implantação de placa de regulamentação em aço D= 050 m – película retrorrefletiva tipo I e SI. ;10;unid.;189,08;Novembro;2017;2197,04711;10;unid.;189,08;Novembro;2017;2197,04711;RODOVIÁRIO;IGP-DI;646,422;646,422;751,121;0;2,07E-05;0;0
50607.001171/2019-13;4714221;AT n. 53/2019;2019;BR-101;RJ;Sudeste;20/12/2019;Fornecimento e implantação de suporte metálico galvanizado para placa de regulamentação – D= 050 m.  ;10;unid.;220,32;Novembro;2017;2560,045585;10;unid.;219,15;Novembro;2017;2546,450572;RODOVIÁRIO;IGP-DI;646,422;646,422;751,121;-13,59501332;2,41E-05;-0,005310458;-1,28E-07
50607.001171/2019-13;4714221;AT n. 53/2019;2019;BR-101;RJ;Sudeste;20/12/2019;Guarda corpo metálico. ;1884,8;m;326,94;Novembro;2017;716023,2212;1884,8;m;349,26;Novembro;2017;764905,7021;RODOVIÁRIO;IGP-DI;646,422;646,422;751,121;48882,48088;0,006734612;0,068269407;0,000459768
50607.001888/2018-84;4633994;AT n. 42/2018;2018;BR-101;RJ;Sudeste;10/12/2019;Guarda corpo metálico com tela artística. ;2090,8;m;341,22;Novembro;2017;828973,6874;2090,8;m;323,39;Novembro;2017;785656,7632;RODOVIÁRIO;IGP-DI;646,422;646,422;751,121;-43316,92411;0,007796976;-0,052253678;-0,000407421
